MSE,MAE,R-Squared,Top 3 important features
62.089,6.229,0.134,"[['Volume_Pozzo_2', 'Volume_Pozzo_5+6', 'Rainfall_Velletri_previous_month1']]"
1.232,0.872,0.927,"[['Volume_Pozzo_3', 'Volume_Pozzo_9_previous_month1', 'Volume_Pozzo_3_previous_month1']]"
3.847,1.427,0.603,"[['Volume_Pozzo_5+6', 'Volume_Pozzo_2', 'Volume_Pozzo_2_previous_month1']]"
0.683,0.656,0.898,"[['Volume_Pozzo_3', 'Volume_Pozzo_9_previous_month1', 'Volume_Pozzo_3_previous_month1']]"
4.449,1.284,0.676,"[['Volume_Pozzo_4', 'Volume_Pozzo_7', 'Volume_Pozzo_9']]"
0.723,0.525,0.865,"[['Volume_Pozzo_3_previous_month1', 'Volume_Pozzo_3', 'Volume_Pozzo_1']]"
1.252,0.806,0.508,"[['Rainfall_Monteporzio_previous_month1', 'Rainfall_Velletri', 'Rainfall_Monteporzio']]"
1.801,0.899,0.698,"[['Volume_Pozzo_9_previous_month1', 'Volume_Pozzo_9', 'Volume_Pozzo_5+6']]"
3.574,1.060,0.799,"[['Volume_Pozzo_1_previous_month1', 'Volume_Pozzo_3_previous_month1', 'Volume_Pozzo_1']]"
0.138,0.200,0.861,"[['Volume_POL_previous_month1', 'Volume_POL', 'Hydrometry_Piaggione_previous_month1']]"
0.062,0.200,0.755,"[['Volume_POL', 'Volume_POL_previous_month1', 'Hydrometry_Monte_S_Quirico']]"
0.053,0.156,0.772,"[['Hydrometry_Monte_S_Quirico', 'Hydrometry_Monte_S_Quirico_previous_month1', 'Hydrometry_Piaggione']]"
0.454,0.527,0.586,"[['Hydrometry_Piaggione_previous_month1', 'Volume_CC2_previous_month1', 'Hydrometry_Piaggione']]"
0.045,0.174,0.751,"[['Hydrometry_Monte_S_Quirico', 'Hydrometry_Piaggione', 'Hydrometry_Monte_S_Quirico_previous_month1']]"
0.002,0.040,0.800,"[['Depth_to_Groundwater_S_Fiora_8', 'Depth_to_Groundwater_David_Lazzaretti', 'Depth_to_Groundwater_S_Fiora_11bis']]"
0.171,0.358,0.747,"[['Depth_to_Groundwater_S_Fiora_8', 'Depth_to_Groundwater_S_Fiora_8_previous_month1', 'Depth_to_Groundwater_David_Lazzaretti']]"
1.257,0.746,0.273,"[['Depth_to_Groundwater_David_Lazzaretti', 'Rainfall_Castel_del_Piano', 'Depth_to_Groundwater_David_Lazzaretti_previous_month1']]"
0.404,0.501,0.860,"[['Depth_to_Groundwater_S_Fiora_8_previous_month1', 'Depth_to_Groundwater_S_Fiora_8', 'Depth_to_Groundwater_S_Fiora_11bis']]"
0.905,0.690,0.640,"[['Flow_Rate', 'season', 'season_previous_month1']]"
248.021,11.521,0.668,"[['Rainfall_Settefrati', 'Temperature_Settefrati_previous_month1', 'dryness']]"
0.742,0.660,0.362,"[['Rainfall_Scorgiano', 'Volume_Pozzo_1_previous_month1', 'Volume_Pozzo_1']]"
0.230,0.316,0.550,"[['Volume_Pozzo_4', 'Temperature_Siena_Poggio_al_Vento_previous_month1', 'Volume_Pozzo_1_previous_month1']]"
0.129,0.236,0.679,"[['Volume_Pozzo_4', 'Volume_Pozzo_1_previous_month1', 'Volume_Pozzo_1']]"
2.050,1.049,0.547,"[['Temperature_Siena_Poggio_al_Vento_previous_month1', 'Temperature_Siena_Poggio_al_Vento', 'Volume_Pozzo_4']]"
5.953,1.993,0.361,"[['Volume_C10_Petrignano_previous_month1', 'Hydrometry_Fiume_Chiascio_Petrignano_previous_month1', 'Volume_C10_Petrignano']]"
6.032,1.969,0.313,"[['Volume_C10_Petrignano_previous_month1', 'Volume_C10_Petrignano', 'Hydrometry_Fiume_Chiascio_Petrignano_previous_month1']]"
214.112,11.680,-0.179,"[['Rainfall_Terni', 'Rainfall_Terni_previous_month1', 'season_previous_month1']]"
0.053,0.171,0.423,"[['Temperature_Firenze_previous_month1', 'Temperature_Firenze', 'season']]"
